City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
nanakuli,1,US,1544039820,63,21.39,-158.15,80.06,12.75
wilmington,40,US,1544039760,86,39.75,-75.55,35.24,5.82
tungor,8,RU,1544040783,100,53.39,142.95,-4.67,31.23
tual,8,ID,1544040783,100,-5.67,132.75,84.84,9.86
matagami,0,NG,1544040783,28,9.67,8.4,71.57,10.09
kysyl-syr,12,RU,1544040783,55,63.9,122.77,-32.12,6.17
port hardy,20,CA,1544036400,77,50.7,-127.42,33.8,2.24
pisco,75,PE,1544036400,30,-13.71,-76.2,71.6,6.93
salalah,40,OM,1544035800,74,17.01,54.1,78.8,4.7
requena,40,ES,1544038200,100,39.49,-1.1,53.6,4.7
pasighat,80,IN,1544040863,66,28.06,95.33,56.63,1.59
nueva imperial,0,CL,1544040000,57,-38.75,-72.95,75.2,13.87
ahipara,92,NZ,1544040787,100,-35.17,173.16,56.36,16.46
necochea,92,AR,1544040787,79,-38.55,-58.74,59.37,14.0
telsiai,0,LT,1544040787,85,55.98,22.25,25.22,6.17
margate,0,AU,1544040000,77,-43.03,147.26,59.0,10.29
clyde river,75,CA,1544036400,75,70.47,-68.59,-14.81,4.7
mianyang,76,CN,1544040789,71,31.46,104.75,47.13,7.18
beohari,0,IN,1544041158,82,24.05,81.38,49.02,2.82
mareeba,75,AU,1544040000,83,-16.99,145.42,77.0,8.05
lafiagi,0,NG,1544041159,34,8.85,5.42,77.55,8.63
cap malheureux,40,MU,1544040000,88,-19.98,57.61,77.0,4.7
vila franca do campo,20,PT,1544038200,82,37.72,-25.43,60.8,4.7
namatanai,64,PG,1544041207,99,-3.66,152.44,84.57,4.94
chaoyang,80,CN,1544041208,48,41.58,120.44,15.41,16.91
kaitangata,92,NZ,1544040834,74,-46.28,169.85,49.25,22.5
souillac,90,FR,1544038200,93,45.6,-0.6,55.4,12.75
miquelon,75,PM,1544036400,63,47.1,-56.38,26.6,25.28
capaccio,0,IT,1544036100,81,40.42,15.08,42.8,3.36
pinsk,68,BY,1544040835,87,52.11,26.1,31.47,11.43
ust-nera,76,RU,1544040835,74,64.57,143.24,-26.9,2.15
talnakh,76,RU,1544040836,64,69.49,88.39,-8.0,15.79
georgetown,40,GY,1544036400,70,6.8,-58.16,86.0,9.17
bulgan,0,MN,1544040836,43,48.81,103.53,-29.87,2.71
sinnamary,92,GF,1544040837,98,5.38,-52.96,78.86,7.63
hofn,90,IS,1544036400,80,64.25,-15.21,33.8,9.17
aloleng,8,PH,1544040837,99,16.13,119.78,78.27,7.4
richards bay,76,ZA,1544040838,97,-28.77,32.06,70.53,4.83
sao filipe,8,CV,1544040838,98,14.9,-24.5,74.67,12.77
whitehorse,75,CA,1544036400,92,60.72,-135.06,21.2,11.41
healesville,0,AU,1544038200,82,-37.65,145.52,57.2,17.22
stanovoye,92,RU,1544040839,96,52.76,38.34,25.58,5.28
kerema,80,PG,1544040839,70,-7.96,145.78,74.36,2.15
rolla,1,US,1544036160,48,37.95,-91.77,44.96,11.41
tiznit,0,MA,1544040840,88,29.7,-9.73,60.54,2.15
pitimbu,20,BR,1544040000,74,-7.47,-34.81,82.4,10.29
luderitz,0,NA,1544040840,84,-26.65,15.16,58.16,9.42
padang,92,ID,1544040841,100,-0.92,100.36,75.8,2.26
morros,92,BR,1544040841,93,-2.87,-44.04,77.6,1.25
tabory,68,PL,1544040842,93,53.89,19.53,32.87,6.73
arlit,0,NE,1544040842,33,18.74,7.39,63.6,10.42
nyimba,76,ZM,1544040843,91,-14.56,30.81,68.64,2.93
safranbolu,92,TR,1544040843,100,41.25,32.69,42.99,2.15
kayakent,90,RU,1544040000,93,42.39,47.9,44.6,8.95
ocos,20,GT,1544040000,49,14.51,-92.19,91.4,6.93
san andres,8,PH,1544040845,100,13.32,122.68,81.15,17.02
cayenne,92,GF,1544040000,83,4.94,-52.33,80.6,4.7
tando muhammad khan,0,PK,1544040845,77,25.12,68.53,56.04,3.71
pangnirtung,75,CA,1544036400,77,66.15,-65.72,-0.41,4.7
agadir,0,MA,1544038200,77,30.42,-9.58,59.0,2.24
tautira,40,PF,1544040000,62,-17.73,-149.15,87.8,13.87
ngunguru,76,NZ,1544040847,100,-35.62,174.5,60.5,17.47
yarmolyntsi,88,UA,1544040847,92,49.19,26.84,30.39,10.98
tessalit,0,ML,1544040847,27,20.2,1.01,64.59,11.21
ilhabela,0,BR,1544040848,98,-23.78,-45.36,75.08,6.62
dalbandin,32,PK,1544040848,89,28.9,64.41,46.5,3.15
dikson,92,RU,1544040848,100,73.51,80.55,7.22,25.19
lexington,90,US,1544039700,58,38.05,-84.5,33.08,9.17
rach gia,24,VN,1544038200,94,10.02,105.08,75.2,6.73
alofi,40,NU,1544040000,66,-19.06,-169.92,84.2,14.99
ilulissat,20,GL,1544039400,48,69.22,-51.1,21.2,18.34
kijang,75,KR,1544040000,70,35.24,129.21,46.4,9.17
yelets,92,RU,1544040892,96,52.61,38.49,25.58,5.28
thunder bay,90,CA,1544036400,73,48.41,-89.26,24.8,8.05
beboto,0,TD,1544040893,32,8.27,16.94,78.32,10.2
ostrovnoy,92,RU,1544040893,97,68.05,39.51,29.58,17.02
itarema,80,BR,1544040893,97,-2.92,-39.92,77.15,3.04
taltal,0,CL,1544040893,54,-25.41,-70.49,65.94,3.38
martinsville,75,US,1544039580,36,36.69,-79.87,42.98,10.29
dunedin,32,NZ,1544040594,82,-45.87,170.5,46.73,19.26
ambulu,20,ID,1544040894,100,-8.35,113.61,76.52,3.49
komsomolskiy,80,RU,1544040894,90,67.55,63.78,12.71,6.17
mineiros,20,BR,1544040895,84,-17.57,-52.55,74.4,2.04
kavieng,0,PG,1544040895,100,-2.57,150.8,84.93,7.96
labuhan,88,ID,1544040895,99,-2.54,115.51,72.42,2.15
waingapu,88,ID,1544040896,100,-9.65,120.26,74.81,2.71
santiago,75,CL,1544036400,33,-33.44,-70.65,80.6,4.7
mazabuka,48,ZM,1544040897,94,-15.86,27.75,65.49,3.83
jabonga,68,PH,1544040897,100,9.34,125.52,77.28,6.96
soyo,32,AO,1544040897,82,-6.13,12.37,79.98,6.51
esperance,20,TT,1544040000,70,10.24,-61.45,84.2,13.87
havre-saint-pierre,20,CA,1544036400,66,50.23,-63.6,14.0,11.41
prince rupert,75,CA,1544038080,100,54.32,-130.32,32.0,4.7
klaksvik,64,FO,1544039400,100,62.23,-6.59,37.4,16.11
lukovetskiy,90,RU,1544040000,92,64.29,41.92,30.2,13.42
airai,0,TL,1544040899,88,-8.93,125.41,67.38,1.14
george,20,NG,1544036400,83,6.63,3.35,84.2,3.36
avera,1,US,1544039700,30,33.19,-82.53,53.06,16.11
urkut,0,HU,1544039100,100,47.09,17.64,30.2,2.24
taybad,36,IR,1544040900,91,34.74,60.78,32.28,2.37
guerrero negro,76,MX,1544040900,67,27.97,-114.04,68.33,7.18
manadhoo,36,MV,1544040901,100,5.77,73.38,82.14,5.28
cardoso,0,BR,1544040629,62,-20.08,-49.91,87.41,3.15
fairbanks,90,US,1544039880,95,64.84,-147.72,21.02,5.39
alzamay,48,RU,1544040902,76,55.55,98.67,-17.4,4.38
arantangi,48,IN,1544040903,100,10.17,78.99,76.52,7.63
cerrito,75,CO,1544040000,73,6.84,-72.7,75.2,8.05
leningradskiy,56,RU,1544040904,100,69.38,178.42,-4.94,28.1
arraial do cabo,75,BR,1544040000,52,-22.97,-42.02,91.4,6.93
mahebourg,40,MU,1544040000,88,-20.41,57.7,77.0,4.7
montrose,0,AU,1544038200,82,-37.81,145.34,57.2,17.22
talcahuano,0,CL,1544040000,60,-36.72,-73.12,71.6,8.05
vilhena,75,BR,1544036400,74,-12.74,-60.15,80.6,8.05
katsuura,8,JP,1544040907,99,33.93,134.5,47.27,3.38
teguise,0,ES,1544038200,46,29.06,-13.56,71.6,9.17
biak,20,ID,1544040907,100,-0.91,122.88,77.87,1.59
patnos,12,TR,1544040908,77,39.23,42.86,22.16,1.14
manggar,76,ID,1544040908,100,-2.88,108.27,77.15,2.59
natal,40,BR,1544040000,74,-5.81,-35.21,84.2,12.75
lompoc,90,US,1544039760,54,34.64,-120.46,66.02,10.29
ostersund,40,SE,1544039400,80,63.18,14.64,30.2,17.22
batemans bay,0,AU,1544041279,92,-35.71,150.18,63.56,5.17
catuday,8,PH,1544041280,99,16.29,119.81,78.27,7.4
hamilton,75,BM,1544039700,73,32.3,-64.78,73.4,5.82
khash,44,IR,1544041327,65,28.22,61.21,35.52,2.37
belmopan,40,BZ,1544040000,55,17.25,-88.77,89.6,6.93
narsaq,88,GL,1544041327,82,60.91,-46.05,29.81,18.81
constitucion,75,MX,1544038860,31,23.99,-104.67,73.4,9.17
port elizabeth,90,US,1544039760,92,39.31,-74.98,35.24,9.17
tarakan,64,ID,1544041328,100,3.3,117.63,76.74,3.83
kabanjahe,40,ID,1544036400,94,3.1,98.49,78.8,3.36
bandarbeyla,92,SO,1544041329,100,9.49,50.81,79.58,15.68
tazovskiy,80,RU,1544041144,74,67.47,78.7,0.92,18.37
phangnga,20,TH,1544040000,88,8.45,98.53,77.0,2.71
neiafu,75,TO,1544040000,74,-18.65,-173.98,84.2,10.29
bongandanga,8,CD,1544041330,82,1.51,21.07,76.92,3.6
myitkyina,56,MM,1544041330,91,25.38,97.4,59.42,2.37
simoes,92,BR,1544041331,98,-7.6,-40.82,67.29,2.93
darhan,20,MN,1544041331,48,49.49,105.92,-31.13,3.04
ancud,0,CL,1544040000,40,-41.87,-73.83,71.6,10.29
atar,0,MR,1544041332,24,20.52,-13.05,62.03,5.28
naryan-mar,76,RU,1544041332,90,67.67,53.09,20.81,12.1
victoria,75,BN,1544040000,83,5.28,115.24,80.6,2.24
tateyama,76,JP,1544041333,100,36.66,137.31,33.99,2.37
porto novo,20,BR,1544040000,44,-23.68,-45.44,80.6,9.17
whitstable,75,GB,1544039400,93,51.36,1.03,55.4,10.29
tongchuan,44,CN,1544040000,92,34.9,108.95,23.0,2.24
karratha,0,AU,1544041336,88,-20.74,116.85,66.3,3.6
singkang,75,MY,1544036400,94,2.1,102.8,77.0,3.36
bonfim,40,BR,1544036400,38,-20.33,-44.24,87.8,5.82
dakar,0,SN,1544040000,88,14.69,-17.45,77.0,6.93
nome,1,US,1544040900,35,30.04,-94.42,60.08,3.36
kavaratti,24,IN,1544041337,100,10.57,72.64,83.04,9.08
nabire,32,ID,1544041338,94,-3.36,135.5,68.51,2.48
redlands,90,US,1544039700,81,34.06,-117.19,55.4,1.92
grand gaube,40,MU,1544040000,88,-20.01,57.66,77.0,4.7
dargaville,80,NZ,1544041339,81,-35.94,173.86,61.44,18.48
mingshui,88,CN,1544041339,97,22.81,109.89,69.5,2.26
ust-kut,48,RU,1544041339,40,56.78,105.75,-26.81,3.71
kourou,92,GF,1544040000,83,5.16,-52.64,80.6,4.7
choix,68,MX,1544041340,64,26.71,-108.33,70.31,2.04
potiskum,0,NG,1544041340,30,11.71,11.08,70.08,11.54
acapulco,40,MX,1544038920,70,16.86,-99.88,86.0,9.17
bavly,48,RU,1544041341,78,54.4,53.24,8.93,3.15
caravelas,80,BR,1544041341,100,-17.73,-39.27,79.62,13.22
agadez,0,NE,1544041342,32,16.97,7.99,66.12,10.98
ponta delgada,20,PT,1544038200,82,37.73,-25.67,60.8,4.7
xai-xai,36,MZ,1544041342,90,-25.04,33.64,78.95,13.22
bubaque,20,GW,1544041139,96,11.28,-15.83,83.04,4.72
mtambile,20,TZ,1544041343,99,-5.38,39.7,81.65,7.96
cabras,92,CO,1544041343,98,5.5,-75.6,59.78,1.7
livingstone,8,ZW,1544041344,73,-17.85,25.86,71.48,3.71
fort nelson,75,CA,1544036400,84,58.81,-122.69,8.6,10.29
oga,0,NG,1544041344,58,8.18,5.65,72.38,3.27
haines junction,24,CA,1544041387,77,60.75,-137.51,-2.87,2.04
riberalta,90,BO,1544040000,94,-11.0,-66.08,77.0,1.81
piranshahr,92,IR,1544041388,98,36.7,45.14,39.84,1.7
buraydah,75,SA,1544036400,100,26.33,43.97,62.6,3.36
northam,40,GB,1544039400,93,51.04,-4.21,51.8,3.36
goderich,56,CA,1544041203,85,43.74,-81.71,31.52,11.21
ayan,92,TR,1544041389,100,40.67,33.6,36.38,2.26
berdigestyakh,48,RU,1544041389,48,62.1,126.7,-29.69,7.74
trenggalek,88,ID,1544041389,99,-8.05,111.71,71.66,2.26
xiuyan,88,CN,1544041389,62,40.29,123.27,15.86,2.48
tandil,88,AR,1544041390,50,-37.33,-59.14,66.98,11.21
oliveira dos brejinhos,92,BR,1544041390,100,-12.32,-42.89,67.88,3.71
barcelos,75,PT,1544038200,77,41.53,-8.62,59.0,4.7
krasyliv,88,UA,1544041391,93,49.66,26.97,31.74,11.21
monterey,90,US,1544039700,66,36.6,-121.89,60.8,3.36
borskoye,0,RU,1544041392,82,53.03,51.7,11.81,8.63
santa rosa,88,AR,1544041394,33,-36.62,-64.29,73.82,13.89
hami,0,CN,1544041394,39,42.84,93.51,-5.25,7.96
iqaluit,75,CA,1544040000,72,63.75,-68.52,12.2,2.24
pindwara,0,IN,1544041395,86,24.79,73.05,49.25,1.92
suntar,44,RU,1544041395,73,62.16,117.65,-24.42,7.18
burns lake,44,CA,1544041396,100,54.23,-125.76,11.18,2.93
ugoofaaru,64,MV,1544041396,100,5.67,73.0,82.01,4.05
santa cruz del sur,8,CU,1544041396,73,20.71,-78.0,81.83,7.4
jinji,92,CN,1544041396,99,22.16,112.49,69.5,3.49
lagoa,0,PT,1544038200,93,37.14,-8.45,57.2,2.24
hervey bay,40,AU,1544040000,83,-25.3,152.85,69.8,11.41
bambous virieux,40,MU,1544040000,88,-20.34,57.76,77.0,4.7
cherskiy,20,RU,1544041098,44,68.75,161.3,-27.75,2.71
saint-francois,0,FR,1544038200,93,46.42,3.91,46.4,4.83
rosario,12,UY,1544041399,47,-34.31,-57.35,69.95,13.89
chimbote,0,PE,1544041399,73,-9.08,-78.59,71.3,7.96
vila,92,IT,1544039400,93,45.18,8.4,42.8,3.36
mikuni,75,JP,1544040000,100,36.22,136.15,39.2,1.12
ingham,92,AU,1544041400,100,-18.65,146.16,73.1,9.64
vestmannaeyjar,76,IS,1544041400,100,63.44,-20.27,38.72,26.08
constantine,0,DZ,1544038200,76,36.36,6.61,51.8,2.24
baton rouge,1,US,1544039880,38,30.45,-91.15,57.74,6.93
jalu,0,LY,1544041401,88,29.03,21.55,58.38,9.86
cockburn town,75,TC,1544036400,66,21.46,-71.14,86.0,6.93
tiganesti,92,RO,1544041402,100,43.9,25.37,34.44,3.04
indiana,75,US,1544041200,92,40.62,-79.15,30.2,5.82
broome,75,GB,1544039820,100,52.47,1.45,53.6,10.29
kailua,75,US,1544039820,60,21.39,-157.74,80.06,12.75
sao joao da barra,20,BR,1544040000,62,-21.64,-41.05,84.2,16.11
kishtwar,56,IN,1544041403,82,33.31,75.77,25.58,1.7
xining,56,CN,1544041350,25,36.62,101.77,26.43,11.21
afzalpur,0,IN,1544041404,98,17.2,76.36,66.84,5.5
geraldton,90,CA,1544040000,85,49.72,-86.95,21.2,5.82
la ronge,20,CA,1544040000,76,55.1,-105.3,-4.01,3.36
rongcheng,44,CN,1544041405,100,37.16,122.42,27.02,5.17
abnub,40,EG,1544036400,59,27.27,31.15,64.4,16.11
yeppoon,75,AU,1544040000,78,-23.13,150.74,71.6,10.29
portel,76,PT,1544036400,100,38.31,-7.71,51.8,3.36
cuddapah,92,IN,1544041406,99,14.47,78.82,71.79,3.38
cabo san lucas,20,MX,1544039400,69,22.89,-109.91,80.6,11.41
maltahohe,0,NA,1544041447,37,-24.83,16.98,59.73,6.73
port augusta,0,AU,1544040000,39,-32.49,137.76,64.4,5.82
ajdabiya,68,LY,1544041448,91,30.75,20.22,53.88,8.97
aklavik,40,CA,1544040000,85,68.22,-135.01,10.4,4.7
nanortalik,56,GL,1544041449,82,60.14,-45.24,34.17,43.87
banjar,68,ID,1544041449,97,-7.37,108.54,70.85,2.48
santa isabel do rio negro,32,BR,1544041449,77,-0.41,-65.02,84.75,3.38
evensk,80,RU,1544041450,100,61.92,159.24,11.27,28.88
yangjiang,92,CN,1544041450,99,21.85,111.96,73.82,11.65
chara,20,GR,1544035800,45,39.42,22.43,50.0,4.7
paka,0,HR,1544040000,92,45.29,18.06,30.2,6.93
sovetskiy,76,RU,1544041451,90,56.76,48.47,20.72,8.63
black river,20,JM,1544040000,70,18.03,-77.85,84.2,8.05
bela,36,PK,1544041452,36,26.23,66.31,51.72,5.73
chapais,90,CA,1544040240,85,49.78,-74.86,14.0,9.17
bama,48,CN,1544041452,94,24.14,107.25,65.27,4.83
imbituba,20,BR,1544040000,69,-28.24,-48.67,73.4,16.11
ambunti,88,PG,1544041453,99,-4.22,142.82,76.2,2.48
lavrentiya,80,RU,1544041454,100,65.58,-170.99,23.28,28.21
caconda,24,AO,1544041454,97,-13.73,15.06,61.58,4.16
gonc,0,HU,1544040000,74,48.47,21.28,30.2,8.05
kinablangan,92,PH,1544041455,100,7.69,126.55,77.1,5.17
setermoen,40,NO,1544039400,100,68.86,18.35,24.8,16.11
cidreira,0,BR,1544041455,64,-30.17,-50.22,72.2,12.21
guarapari,20,BR,1544040000,78,-20.67,-40.5,82.4,11.41
guarare,40,PA,1544040000,62,7.82,-80.28,87.8,10.29
moose factory,90,CA,1544040000,79,51.26,-80.61,26.6,9.17
sembakung,44,ID,1544041456,97,3.82,117.25,74.94,2.37
saltpond,8,GH,1544041457,83,5.2,-1.06,76.74,4.5
praia da vitoria,20,PT,1544036400,72,38.73,-27.07,60.8,18.03
pochutla,75,MX,1544039700,70,15.74,-96.47,86.0,6.93
pak phanang,64,TH,1544041457,100,8.35,100.2,80.12,4.38
kununurra,12,AU,1544040000,94,-15.77,128.74,78.8,2.71
pacific grove,90,US,1544039700,66,36.62,-121.92,60.8,3.36
sikonge,40,TZ,1544036400,94,-5.63,32.75,68.0,9.17
verkhoyansk,20,RU,1544041458,0,67.55,133.39,-46.65,2.26
nacala,12,MZ,1544041459,92,-14.56,40.69,82.1,7.07
chinhoyi,64,ZW,1544041459,88,-17.36,30.19,66.08,13.33
khammam,88,IN,1544041365,97,17.25,80.15,69.0,2.93
vanimo,56,PG,1544041460,100,-2.67,141.3,82.1,8.63
port macquarie,92,AU,1544040000,88,-31.43,152.91,66.2,3.36
